NoRequire,RegexSize,NM,ConstCost,SS,ConstCostCC,NoSkip,SSNC,SS_STD,LensSize,FC,BSNC,BS,Test,NMCC
0.12981104850769043,2667,0.07659196853637695,0.07606291770935059,0.13120558261871337,0.07492184638977051,0.12909913063049316,[-1],0.002542445928220227,1919,0.07492709159851074,[-1],0.1302333116531372,bib-prob,0.07981300354003906
0.12760090827941895,2437,0.0753931999206543,0.1808149814605713,0.12910571098327636,0.1311478614807129,0.13254117965698242,0.12976064682006835,0.0028881552816962482,1705,0.1783599853515625,0.129836368560791,0.13125656843185424,addr-probs,0.12813401222229004
0.07297301292419434,422,0.07707595825195312,0.07622718811035156,0.07624164819717408,0.07313203811645508,0.07965588569641113,0.07536717653274536,0.0018629037368950363,635,0.07756686210632324,1.2511478662490845,0.05596175193786621,two-cap-prob,0.08012700080871582
0.13119196891784668,1310,0.07647895812988281,0.0778970718383789,0.1311035633087158,0.12776494026184082,0.12787508964538574,[-1],0.0030331540424360487,927,0.07679295539855957,[-1],0.10883616209030152,workitem-probs,0.07612895965576172
0.08613801002502441,396,0.07679104804992676,0.0766749382019043,0.07798570394515991,0.08253693580627441,0.08609795570373535,0.07804226875305176,0.0020997112687944066,199,0.07854413986206055,0.07258564233779907,0.0747797131538391,date-probs,0.07545208930969238
0.08076310157775879,208,0.04470992088317871,0.08896207809448242,0.04939179420471192,0.08323001861572266,0.049551963806152344,0.2003387451171875,0.010624122779927208,210,0.08440303802490234,0.048542916774749756,0.0537911057472229,cap-prob,0.08115196228027344
0.1356809139251709,1840,0.08183693885803223,0.046041011810302734,0.08790522813796997,0.04657292366027832,0.08489704132080078,0.08573775291442871,0.011406385616189115,970,0.08400511741638184,0.08574608564376832,0.08470823764801025,augeas/aptcrngsec,0.04961895942687988
0.14345693588256836,6210,0.04770207405090332,0.045575857162475586,0.14321911334991455,0.045945167541503906,0.1417710781097412,0.14307968616485595,0.011333816667996733,2705,0.04564499855041504,0.14224641323089598,0.14262349605560304,augeas/bootconf,0.04060196876525879
0.2549569606781006,6390,0.07522702217102051,0.042283058166503906,0.2942013621330261,0.04462695121765137,0.2577180862426758,0.2632985472679138,0.021545834663602763,5095,0.07921218872070312,0.25548884868621824,0.255449914932251,augeas/cron,0.044538021087646484
0.13444995880126953,4394,0.0835418701171875,0.04462409019470215,0.14948711395263672,0.0485529899597168,0.14181995391845703,0.1425618052482605,0.01668916929115051,2808,0.08310794830322266,0.14320571422576905,0.1426347851753235,augeas/aptsources,0.04558897018432617
0.132612943649292,1478,0.08164000511169434,0.049674034118652344,0.08541402816772461,0.04375600814819336,0.13114714622497559,0.09149668216705323,0.004616019636273405,785,0.07805585861206055,0.08510706424713135,0.08555978536605835,augeas/avahi,0.04955005645751953
0.1457231044769287,3848,0.04610896110534668,0.0811469554901123,0.14238781929016114,0.0461430549621582,0.13923311233520508,0.15168497562408448,0.0050509884427498986,2731,0.047651052474975586,[-1],0.14250633716583253,augeas/carbon,0.04525399208068848
0.08629298210144043,1819,0.04696798324584961,0.08488988876342773,0.08497222661972045,0.04600787162780762,0.13485097885131836,0.08572514057159424,0.003439262744080689,822,0.046484947204589844,0.08637862205505371,0.08717893362045288,augeas/cachefilesd,0.04684019088745117
0.13905000686645508,2802,0.08645200729370117,0.04729008674621582,0.13305543661117553,0.04258584976196289,0.14224600791931152,0.12909504175186157,0.01877302228388744,1415,0.08152914047241211,0.08649439811706543,0.1021471619606018,augeas/activemq,0.0777730941772461
0.19188404083251953,8352,0.08542680740356445,0.08105087280273438,0.18891775608062744,0.04408097267150879,0.19089508056640625,0.19964275360107422,0.018066276209133942,4523,0.07929682731628418,0.14389299154281615,0.13993014097213746,augeas/cgconfig,0.08434391021728516
0.31714296340942383,14414,0.07711100578308105,0.07744288444519043,0.312719988822937,0.07966995239257812,0.29955506324768066,4.104173016548157,0.0065099042291762044,7865,0.08464908599853516,1.5333203077316284,0.2580459713935852,augeas/automounter,0.08657097816467285
0.25527000427246094,9586,0.08705782890319824,0.04753994941711426,0.26598362922668456,0.08018898963928223,0.30358219146728516,0.3023848295211792,0.01991176574672911,5342,0.0860738754272461,0.6890295505523681,0.2564320802688599,augeas/channels,0.04780101776123047
0.5670979022979736,9496,0.0482940673828125,0.0450899600982666,6.556184613704682,0.041123151779174805,6.440114974975586,[-1],0.04733194024827446,8936,0.0862269401550293,[-1],3.573194169998169,augeas/bbhosts,0.04131913185119629
0.14238500595092773,3651,0.048840999603271484,0.0486140251159668,0.14429833889007568,0.0493321418762207,0.14019489288330078,0.14226126670837402,0.004722841484956938,1793,0.05214500427246094,0.14375605583190917,0.14406051635742187,augeas/cgrules,0.048571109771728516
0.25281310081481934,9530,0.04851102828979492,0.04621601104736328,0.25449655055999754,0.04744887351989746,0.2641489505767822,4.124081313610077,0.00538079441606473,5021,0.044834136962890625,[-1],0.2572436809539795,augeas/aptconf-l1,0.051123857498168945
0.1498279571533203,2882,0.042981863021850586,0.04320406913757324,0.1532317280769348,0.043684959411621094,0.14257097244262695,0.14862121343612672,0.017866185675301783,1291,0.04714012145996094,0.1412965774536133,0.1446632981300354,augeas/access,0.04707694053649902
0.08908796310424805,1106,0.04557299613952637,0.0455479621887207,0.08461108207702636,0.04172682762145996,0.08773517608642578,0.08779727220535279,0.0033148851079088876,615,0.04943490028381348,0.08704475164413453,0.08767546415328979,augeas/apt-upd-mgr,0.043795108795166016
