NoRequire,RegexSize,NM,ConstCost,SS,ConstCostCC,NoSkip,SSNC,SS_STD,LensSize,FC,BSNC,BS,Test,NMCC
0.08179116249084473,112,0.0860750675201416,0.0876460075378418,0.08501628637313843,0.048461198806762695,0.08115410804748535,[-1],0.003894472983844412,1258,0.08990097045898438,[-1],[-1],boomerang-composers,0.08258700370788574
0.13352084159851074,2667,0.048059940338134766,0.08789801597595215,0.14169962406158448,0.08950114250183105,0.13598108291625977,[-1],0.006143475929975462,1919,0.07582712173461914,[-1],0.11042442321777343,bib-prob,0.049794912338256836
0.13965082168579102,2437,0.08260488510131836,0.14075899124145508,0.14193485975265502,0.14475798606872559,0.1461639404296875,0.14289871454238892,0.00463423290733194,1705,0.14755582809448242,0.10464509725570678,0.10118557214736938,addr-probs,0.139923095703125
0.08652400970458984,683,0.08387517929077148,0.08838915824890137,0.08507508039474487,0.08465313911437988,8.225965976715088,0.08549437522888184,0.0041136522902132065,4046,0.13994097709655762,[-1],[-1],scheduled-jobs,0.09216094017028809
0.15180301666259766,315,0.0788881778717041,0.14451384544372559,0.1443021059036255,0.14049482345581055,0.14377593994140625,0.14272207021713257,0.004218751012648796,279,0.14357495307922363,[-1],[-1],remove-last,0.13896703720092773
4.553231954574585,527,0.04857897758483887,0.13312101364135742,4.59296669960022,4.603222131729126,4.533933162689209,2.900189995765686,0.07384623607980227,632,0.1336071491241455,[-1],[-1],merge-remove-last,0.14635705947875977
0.08114409446716309,422,0.04565000534057617,0.08403706550598145,0.05403494834899902,0.046074867248535156,0.08731698989868164,0.05885709524154663,0.015490234161344079,635,0.08718991279602051,1.250598704814911,0.048597252368927,two-cap-prob,0.07878994941711426
0.13331103324890137,1310,0.0774850845336914,0.07435393333435059,0.12585514783859253,0.12433600425720215,0.1277451515197754,[-1],0.023210117956649186,927,0.07734799385070801,[-1],0.12243123054504394,workitem-probs,0.07481789588928223
0.07385396957397461,396,0.07768702507019043,0.07764291763305664,0.07637476921081543,0.07408499717712402,0.08099794387817383,0.07749073505401612,0.002266823435960506,199,0.07059788703918457,0.06891832351684571,0.07141733169555664,date-probs,0.08166098594665527
0.0739588737487793,208,0.0734100341796875,0.07676815986633301,0.07780940532684326,0.07296991348266602,0.07296204566955566,0.18520138263702393,0.002117823289853961,210,0.0747380256652832,0.07493373155593872,0.06156445741653442,cap-prob,0.07485198974609375
0.07817387580871582,63,0.07630205154418945,0.07507205009460449,0.07385969161987305,0.07997488975524902,[-1],0.07599902153015137,0.0026973404069500517,520,0.07457184791564941,[-1],[-1],biflux-address-book,0.07714581489562988
0.12493205070495605,1840,0.07391190528869629,0.07590317726135254,0.12675532102584838,0.04107189178466797,0.1251530647277832,0.09952117204666137,0.011517680414597956,970,0.07712197303771973,0.07645937204360961,0.07644410133361816,augeas/aptcrngsec,0.07359886169433594
0.1333620548248291,6210,0.07631897926330566,0.07575297355651855,0.16452205181121826,0.07763814926147461,0.18247294425964355,0.12496861219406127,0.022804633974546597,2705,0.07232093811035156,0.1282274007797241,0.12959152460098267,augeas/bootconf,0.07311201095581055
0.29171299934387207,6390,0.07330679893493652,0.07530498504638672,0.29209619760513306,0.07309794425964355,0.2895991802215576,0.2866435289382935,0.009983053147171829,5095,0.07445597648620605,0.23592983484268187,0.24625253677368164,augeas/cron,0.07664704322814941
0.18371200561523438,4394,0.07452893257141113,0.07363486289978027,0.18130662441253662,0.0749959945678711,0.18033599853515625,0.13331056833267213,0.011181789880774251,2808,0.07687783241271973,0.12986412048339843,0.130506694316864,augeas/aptsources,0.07583189010620117
0.13111591339111328,1478,0.07926392555236816,0.07694697380065918,0.10579708814620972,0.04295086860656738,0.1306459903717041,0.09115171432495117,0.025588630691585738,785,0.07376813888549805,0.07726575136184692,0.07752336263656616,augeas/avahi,0.043406009674072266
0.1820390224456787,3848,0.07675409317016602,0.07369399070739746,0.15523043870925904,0.07835197448730469,0.13142800331115723,0.18185409307479858,0.024953533332220144,2731,0.08024311065673828,[-1],0.1310713529586792,augeas/carbon,0.07399201393127441
0.12897682189941406,1819,0.040968894958496094,0.07348895072937012,0.11412553787231446,0.03914499282836914,0.0759580135345459,0.07594096660614014,0.023612463578918094,822,0.04414987564086914,0.07782059907913208,0.08174443244934082,augeas/cachefilesd,0.041658878326416016
0.12801599502563477,2802,0.07994699478149414,0.07322502136230469,0.1310941457748413,0.07343101501464844,0.13408517837524414,0.13024977445602418,0.0027219465017780746,1415,0.07224202156066895,0.08544940948486328,0.13005067110061647,augeas/activemq,0.04457283020019531
0.18752098083496094,8352,0.07860803604125977,0.0715789794921875,0.1843440890312195,0.0410311222076416,0.18033599853515625,0.1841400980949402,0.003014204567425948,4523,0.07877182960510254,0.13683063983917237,0.14557024240493774,augeas/cgconfig,0.042478084564208984
0.3348348140716553,14414,0.07597517967224121,0.07665395736694336,0.2920899748802185,0.09498000144958496,0.3408520221710205,4.079338276386261,0.003246138906123551,7865,0.07242608070373535,1.5673949480056764,0.28527489900588987,augeas/automounter,0.07735109329223633
0.290006160736084,9586,0.07581591606140137,0.07290005683898926,0.29759013652801514,0.04223489761352539,0.28891611099243164,0.28772337436676027,0.020559961396819943,5342,0.07647085189819336,0.6808277845382691,0.23725441694259644,augeas/channels,0.0746150016784668
0.605381965637207,9496,0.07584500312805176,0.0767209529876709,6.665723466873169,0.07317590713500977,6.666167974472046,[-1],0.16665997763254622,8936,0.0737459659576416,[-1],3.793964445590973,augeas/bbhosts,0.07504701614379883
